id	message
API_CALL_ERROR	Kesalahan panggilan API karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
AUTH_RESTART	Proses otorisasi pengguna telah dimulai ulang.
CALL_OCCUPY_FAILED	Panggilan gagal karena pengguna sudah melakukan panggilan lain.
CDN_UPLOAD_TIMEOUT	Terjadi waktu habis di sisi server saat mengunggah ulang file ke CDN DC.
CHAT_ID_GENERATE_FAILED	Kegagalan saat menghasilkan ID chat karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
CHAT_INVALID	Chat tidak valid.
CHAT_OCCUPY_LOC_FAILED	Terjadi kesalahan internal saat membuat chat.
CHAT_OCCUPY_USERNAME_FAILED	Kegagalan untuk mengisi username chat karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
CHP_CALL_FAIL	Telegram mengalami masalah internal. Silakan coba lagi nanti.
ENCRYPTION_OCCUPY_ADMIN_FAILED	Kegagalan mengisi memori untuk informasi admin karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
ENCRYPTION_OCCUPY_FAILED	Kesalahan server internal saat menerima chat rahasia.
FILE_WRITE_FAILED	Telegram mengalami masalah internal. Silakan coba lagi nanti.
FOLDER_DEAC_AUTOFIX_ALL	Telegram mengalami masalah internal. Silakan coba lagi nanti.
GROUPCALL_ADD_PARTICIPANTS_FAILED	Kegagalan saat menambahkan anggota panggilan suara karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
GROUPED_ID_OCCUPY_FAILED	Telegram mengalami masalah internal. Silakan coba lagi nanti.
HISTORY_GET_FAILED	Sejarah chat tidak dapat diambil karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
IMAGE_ENGINE_DOWN	Engine gambar tidak berfungsi karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
INTERDC_X_CALL_ERROR	Terjadi kesalahan saat Telegram berkomunikasi antar DC{value}. Silakan coba lagi nanti.
INTERDC_X_CALL_RICH_ERROR	Kesalahan kaya terjadi saat Telegram berkomunikasi antar DC{value}. Silakan coba lagi nanti.
MEMBER_FETCH_FAILED	Telegram mengalami masalah internal. Silakan coba lagi nanti.
MEMBER_NO_LOCATION	Tidak dapat menemukan lokasi anggota karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
MEMBER_OCCUPY_PRIMARY_LOC_FAILED	Telegram mengalami masalah internal. Silakan coba lagi nanti.
MEMBER_OCCUPY_USERNAME_FAILED	Kegagalan untuk mengisi username anggota karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
MSGID_DECREASE_RETRY	Telegram mengalami masalah internal. Silakan coba lagi nanti.
MSG_RANGE_UNSYNC	Jangkauan pesan tidak sinkron karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
MSG_WAIT_FAILED	Panggilan yang menunggu mengembalikan kesalahan.
MT_SEND_QUEUE_TOO_LONG	Antrian pengiriman MTProto telah terlalu banyak karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
NEED_CHAT_INVALID	Chat yang diberikan tidak valid.
NEED_MEMBER_INVALID	Anggota yang diberikan tidak valid atau tidak ada.
No workers running	Server Telegram sedang memulai ulang pekerjanya. Silakan coba lagi nanti.
PARTICIPANT_CALL_FAILED	Kegagalan saat melakukan panggilan karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
PERSISTENT_TIMESTAMP_OUTDATED	Timestamp yang persisten sudah kadaluarsa karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
PHOTO_CREATE_FAILED	Pembuatan foto gagal karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
POSTPONED_TIMEOUT	Telegram mengalami masalah internal. Silakan coba lagi nanti.
PTS_CHANGE_EMPTY	Tidak ada perubahan PTS.
RANDOM_ID_DUPLICATE	Anda menyediakan ID acak yang sudah digunakan.
REG_ID_GENERATE_FAILED	Kegagalan untuk menghasilkan ID pendaftaran karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
RPC_CALL_FAIL	Telegram mengalami masalah internal. Silakan coba lagi nanti.
RPC_CONNECT_FAILED	Telegram mengalami masalah internal. Silakan coba lagi nanti.
RPC_MCGET_FAIL	Telegram mengalami masalah internal. Silakan coba lagi nanti.
RPC_SEND_FAIL	Telegram mengalami masalah internal. Silakan coba lagi nanti.
SEND_MEDIA_INVALID	Media yang ditentukan tidak valid.
SIGN_IN_FAILED	Kegagalan saat masuk karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
STORAGE_CHECK_FAILED	Pemeriksaan penyimpanan server gagal karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
STORAGE_CHOOSE_VOLUME_FAILED	Kegagalan memilih volume penyimpanan karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
STORE_INVALID_SCALAR_TYPE	Telegram mengalami masalah internal. Silakan coba lagi nanti.
TIMEOUT	Terjadi waktu habis saat mengambil data dari pekerja.
UNKNOWN_METHOD	Metode yang Anda coba panggil tidak dapat dipanggil di non-CDN DC.
UPLOAD_NO_VOLUME	Telegram mengalami masalah internal. Silakan coba lagi nanti.
VOLUME_LOC_NOT_FOUND	Telegram mengalami masalah internal. Silakan coba lagi nanti.
WORKER_BUSY_TOO_LONG_RETRY	Pekerja server terlalu sibuk saat ini karena Telegram mengalami masalah internal. Silakan coba lagi nanti.
WP_ID_GENERATE_FAILED	Telegram mengalami masalah internal. Silakan coba lagi nanti.
